ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,categories,category
0066620104,What Would Machiavelli Do? The Ends Justify the Meanness,Stanley Bing,2002,HarperBusiness,"What Would Machiavelli Do? He would feast on other people's discord He wouldn't exactly seek the company of ass-kissers and bimbos, but he wouldn't reject them out of hand either He would realize that loving yourself means never having to say you're sorry He would kill people, but only if he could feel good about himself afterward He would establish and maintain a psychotic level of control He would use other people's opinions to sell his book!",Humor,Humor
0070488207,Virgin,James Patterson,1980,McGraw-Hill,The Blessed Virgin's deliverance of a prophecy to a peasant girl in Fatima in 1914 is followed years later by signs and omens including worldwide droughts and famines that signify its imminent fulfillment,Fiction,Fiction
0071401946,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,2002,McGraw-Hill/Contemporary Books,"The New York Times Bestseller! Learn how to keep your cool and get the results you want when emotions flare. When stakes are high, opinions vary, and emotions run strong, you have three choices: Avoid a crucial conversation and suffer the consequences; handle the conversation badly and suffer the consequences; or read Crucial Conversations and discover how to communicate best when it matters most. Crucial Conversations gives you the tools you need to step up to life's most difficult and important conversations, say what's on your mind, and achieve the positive resolutions you want. You'll learn how to: Prepare for high-impact situations with a six-minute mastery technique Make it safe to talk about almost anything Be persuasive, not abrasive Keep listening when others blow up or clam up Turn crucial conversations into the action and results you want Whether they take place at work or at home, with your neighbors or your spouse, crucial conversations can have a profound impact on your career, your happiness, and your future. With the skills you learn in this book, you'll never have to worry about the outcome of a crucial conversation again.",Business & Economics,Business and Economics
0071433716,Slim to None : A Journey Through the Wasteland of Anorexia Treatment,Jennifer  Hendricks,2004,McGraw-Hill,"""A young woman's fatal battle with anorexia, in her own words In the tradition of Go Ask Alice, Prozac Nation, and Girl Interrupted, Slim to None grants readers precious access to the emotional and psychological underpinnings of its author. Step-by-step, readers follow Jenny's long journey through a ""wasteland"" of failed treatments and therapies, false hope, and abuse by the mental health system that kept her captive most of her life. Although this disease has been at the forefront of public awareness for years, anorexia continues to claim more victims than any other mental illness. Slim to None reveals the glaring inadequacy of the mental health system to treat and fully understand this disease. The first journal of an anorexic to be published posthumously, the book discloses the innermost thoughts, fears, and hopes of a young girl stricken and fighting to recover. Jenny Hendricks painstakingly recorded her experiences as she suffered from and eventually succumbed to this eating disorder. With candor, she recounts being shipped from one doctor to another and subjected to widely varying treatments--all of which ultimately proved unsuccessful. Her father, Gordon Hendricks, fills in this compelling narrative with his own memories of his daughter's struggle.""--Publisher's description.",Biography & Autobiography,Biography & Autobiography
0075536390,The Complete Works,Tacitus,1964,McGraw-Hill Humanities/Social Sciences/Languages,"Translated by Alfred John Church and William Jackson Brodribb, Edited, with an Introduction, Moses Hadas",History,History & Politics
0099339218,The First Forty Nine Stories,Ernest Hemingway,1994,Trafalgar Square,"""From Ernest Hemingway's Preface- 'There are many kinds of stories in this book. I hope you will find some that you like- In going where you have to go, and doing what you have to do, and seeing what you have to see, you dull and blunt the instrument you write with. But I would rather have it bent and dulled and know I had to put it on the grindstone and hammer it into shape and put a whetstone to it, and know that I had something to write about, than to have it bright and shining, and nothing to say, or smooth and well-oiled in the closet, but unused.' A collection of Hemingway's first forty-nine short stories, featuring a brief introduction by the author and lesser known as well as familiar tales, including 'Up in Michigan', 'Fifty Grand', and 'The Light of the World', and the Snows of Kilimanjaro, Winner Take Nothing'and Men Without Womencollections.""",Fiction,Fiction
0099427869,Illusions,Richard Bach,2001,Arrow,"In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders ... until he meets Donald Shimoda - former mechanic and self-described messiah who can make wrenches fly and Richard's imagination soar... In Illusions,the unforgettable follow-up to his phenomenal New York Times bestseller Jonathan Livingston Seagull,Richard Bach takes to the air to discover the ageless truths that give our souls wings- that people don't need airplanes to soar ... that even the darkest clouds have meaning once we lift ourselves above them ... and that messiahs can be found in the unlikeliest places - like hay fields, one-traffic-light midwestern towns, and most of all, deep within ourselves.",Adventure stories,Adventure
0099428636,How to Travel with a Salmon,Umberto Eco,2002,Vintage,"This witty and irreverent collection of essays presents Eco's playful but unfailingly accurate takes on everything from militarism, computer jargon, Westerns, librarians and bureaucrats to meals on airplanes, Amtrak trains, bad coffee, express mail, fax machines and pornography. ""An uncanny combination of the profound and the profane"".--San Francisco Chronicle.",Essays,Essays
0099428644,The Trial,Franz Kafka,2001,Vintage,"Written in 1914, The Trial is the terrifying tale of Josef K., a respectable bank officer who is suddenly arrested and must defend himself against a charge about which he can get no information. Kafka’s nightmare has resonated with chilling truth for generations of readers.",Fiction,Fiction
0140018328,Kiss Kiss (French Language Edition),Roald Dahl,1978,French &amp; European Pubns,"Eleven Devious, Shocking Stories from the Master of the Unpredictable. What could go wrong when a wife pawns the mink coat that her lover gave her as a parting gift? What happens when a pricelass piece of furniture is the subject of a deceitful bargain? Can a wronged woman take revenge on her dead husband? In these dark, dangerous stories Roald Dahl explores the sinister side of human nature: the cunning, sly, selfish part of each of us that leads into the territory of the unexpected and unsettling. Stylish, macabre and haunting, these tales will leave you with a delicious feeling of unease.",Fiction,Fiction
0140030344,The Nice and the Good,Iris Murdoch,1978,Penguin Books,A respected Whitehall civil servant is asked to investigate the suicide of a colleague and begins to feel trapped by the after-effects of violence.,Fiction,Fiction
0140041796,Switch Bitch,Roald Dahl,1989,Penguin Books,"Storties included: The Visor, The Great Switcheroo, The Last Act, Bitch.",Fiction,Fiction
0140055770,My Uncle Oswald,Roald Dahl,1990,Penguin Books,"Roald Dahl's first-ever novel presents the scurrilous memoirs of that delightful old reprobate from switch bitch, Oswald Hendryks Cornelius - connoisseur, bon vivant, collector of spiders, scorpions, odd walking sticks, lover of opera, expert on Chinese porcelain, and without doubt the greatest fornicator of all time. In this delightful picaresque story, it is revealed how Uncle Oswald first achieved great wealth - all thanks to the Sundance blister beetle, which when ground to powder has the most electrifying aphrodisiac qualities. It is 1919 - armed with the powder and aided by the beautiful amoral Yasmin how comely, Oswald begins an audacious commercial enterprise which involves seducing the most famous men in Europe - from crowded heads to Bernard Shaw and Marcel Proust.",Fiction,Fiction
0140065504,Water Music (The Penguin Contemporary American Fiction Series),T. Coraghessan Boyle,1983,Penguin Books,"Mungo Park, based on a real-life African explorer, and Ned Rise, a scoundrel, pimp, thief, and cheat, travel about Africa and meet up with a varied assortment of characters--native and colonial, antic and dangerous",Fiction,Fiction
0140110879,You Bright and Risen Angels (Contemporary American fiction),William T. Vollmann,1988,Penguin Books,"This comic and surreal novel about the beastliness and pain in the world focuses on the stories of assorted young American misfits, reactionaries and revolutionaries, young lovers, and raging old tyrants",Fiction,Fiction
0140115854,Moon Palace (Contemporary American Fiction),Paul Auster,1990,Penguin Books,"Marco Stanley Fogg, an orphan of the sixties, travels from Manhattan to Utah in search of himself",Fiction,Fiction
0140119485,Americana (Contemporary American Fiction),Don DeLillo,1989,Penguin Books,"David Bell, a successful television executive begins to film a movie which ultimately forces him to reexamine his goals and values",Fiction,Fiction
0140131671,East Is East (Contemporary American Fiction),T. Coraghessan Boyle,1991,Penguin Books,"A young Japanese seaman jumps ship off the coast of Georgia and washes ashore on a barrier island inhabited by a strange mix of rednecks, descendents of slaves, genteel retired people, and a colony of artists. The result is a sexy, savagely hilarious tragicomedy of thwarted expectations, mistaken identity, love, jealousy and betrayal. ""An absolutely stunning work, full of brilliant cross-cultural insights"".--The New York Times Book Review.",Fiction,Fiction
0140135154,Ways of Seeing,John Berger,1995,Penguin Books,Examines the social implications and psychological impact of the images and conventions of modern and classical artists,Art,Arts & Entertainment
0140139397,The Big Rock Candy Mountain (Contemporary American Fiction),Wallace Stegner,1995,Penguin Books,"Bo Mason and his wife and two boys live a transient life of poverty and despair; drifting from town to town, the violent, ruthless Bo seeks his fortune. Stegner has created a masterful, harrowing saga of a family trying to survive during the lean years of the early 20th century.",Fiction,Fiction
0140139400,The Spectator Bird (Contemporary American Fiction),Wallace Stegner,1990,Penguin Books,Retired literary agent Joe Allston passes through life as a spectator until he discovers the journals of a trip he took to his mother's birthplace years before.,Fiction,Fiction
0140139974,Sailor Song,Ken Kesey,1993,Penguin Books,"In Alaska to film a famous children's book, the crew of a big-bucks Hollywood production company encounters a tribe of people who have had little contact with whites. By the author of One Flew Over the Cuckoo's Nest. Reprint.",Fiction,Fiction
0140143459,Liar's Poker: Rising Through the Wreckage on Wall Street,Michael Lewis,1990,Penguin Books,"The author recounts his experiences on the lucrative Wall Street bond market of the 1980s, where young traders made millions quickly and easily, in a humorous account of greed and epic folly",Biography & Autobiography,Biography & Autobiography
0140143955,The Anglo-Saxons (Penguin History),James Campbell,1991,Penguin Books,Traces the history of England from the end of Roman rule to the Norman Conquest,History,History & Politics
0140144188,Journal of a Novel: The East of Eden Letters,John Steinbeck,1990,Penguin Books,"Each working day from January 29 to November 1, 1951, John Steinbeck warmed up to the work of writing East of Eden with a letter to the late Pascal Covici, his friend and editor at The Viking Press. It was his way, he said, of ""getting my mental arm in shape to pitch a good game."" Steinbeck's letters were written on the left-hand pages of a notebook in which the facing pages would be filled with the test of East of Eden. They touched on many subjects—story arguments, trial flights of worknamship, concern for his sons. Part autobiography, part writer's workshop, these letters offer an illuminating perspective on Steinbeck's creative process, and a fascinating glimpse of Steinbeck, the private man.",Literary Criticism,Literature
0140150749,Portable Dorothy Parker (Viking Portable Library),Dorothy Parker,1991,Penguin Books,"One of the most quotable of twentieth-century authors, Dorothy Parker has attained a wide-ranging and enthusiastic following. This revised and enlarged edition, with an introduction by Brendan Gill, comprises the original 1944 Portable, as selected and arranged by Dorothy Parker herself and including all her most celebrated poems and stories, along with a selection of her later stories, play reviews, articles, book reviews from Esquire, and the complete Constant Reader, her collected New Yorker book reviews.""To say that Mrs. Parker writes well is as fatuous, I am afraid, as proclaiming that Cellini was clever with his hands. ... Mrs. Parker has an eye for people, an ear for language, and a feeling for the lithe things of life that are so immense a part of the process of living."" - Ogden Nash""She has put into what she has written a voice, a state of mind, an era, a few moments of human experience that nobody else has conveyed."" - Edmund Wilson",Literary Collections,Literature
0140152741,Mao II,Don DeLillo,1992,Penguin Books,"Reclusive writer Bill Gray escapes his failed novel into a world of political violence and terror, in a story that journeys from New York, to London, Athens, and ultimately, the bombed-out city of Beirut",Fiction,Fiction
0140153195,Justine (Alexandria Quartet),Lawrence Durrell,1991,Penguin Books,"On the eve of World War II in the Egyptian city of Alexandria, an exiled Irish schoolteacher becomes involved with Justine, the Jewish wife of a Coptic Christian",Fiction,Fiction
0140153225,"Clea (Durrell, Lawrence. Alexandria Quartet.)",Lawrence Durrell,1993,Penguin Books,"After the war Irish emigre Darley becomes involved with Clea, a bisexual artist",Fiction,Fiction
0140154078,The Music of Chance,Paul Auster,1993,Penguin Books,"An ""exceptional"" (Los Angeles Times) tale of fate, loyalty, responsibility, and the real meaning of freedom, from the author of the forthcoming 4 3 2 1: A Novel A finalist for the PEN/Faulkner Award This ""rich and dazzling"" (Wall Street Journal) novel follows Jim Nashe who, after squandering an unexpected inheritance, picks up a young gambler named Jack Pozzi hoping to con two millionaires. But when their plans backfire, Jim and Jack are indentured by their elusive marks and are forced to build a meaningless wall with bricks gathered from ruins of an Irish castle. Time passes, their debts mount, and anger builds as the two struggle to dig themselves out of their Kafkaesque serfdom. New York Times-bestselling author Paul Auster (The New York Trilogy) brings us back into his strange, shape-shifting world of fiendish bargains and punitive whims, where chance is a powerful yet unpredictable force.",Fiction,Fiction
0140156046,Libra (Contemporary American Fiction),Don DeLillo,1991,Penguin Books,The scheme of two disgruntled CIA agents to stage an unsuccessful attempt on the life of President Kennedy and link it to Cuba backfires when the erratic Lee Harvey Oswald goes too far,Fiction,Fiction
0140159940,Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West,Wallace Stegner,1992,Penguin Books,Biography of John Wesley Powell.,Biography & Autobiography,Biography & Autobiography
0140159959,Ludwig Wittgenstein: The Duty of Genius,Ray Monk,1991,Penguin Books,"Wittgenstein possessed one of the most acute philosophical minds of the 20th century. In this incisive portrait, Monk offers a unique insight into the life and work of a modern genius who radically redirected philosophical thought in our time.",Biography & Autobiography,Biography & Autobiography
0140177396,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,Penguin Books,"The tragic story of the friendship between two migrant workers, George and mentally retarded Lenny, and their dream of owning a farm",Fiction,Fiction
0140178139,Leviathan (Contemporary American Fiction),Paul Auster,1993,Penguin Books,"When his closest friend, Benjamin Sachs, accidentally blows himself up on a Wisconsin road, Peter Aaron attempts to piece together the events that led to Ben's tragic demise and determine the reason for his death",Fiction,Fiction
014017897X,Essays (Penguin Classics),Michel De Montaigne,1993,Penguin Books,"Reflections by the creator of the essay form display the humane, skeptical, humorous, and honest views of Montaigne, revealing his thoughts on sexuality, religion, cannibals, intellectuals, and other unexpected themes. Included are such celebrated works as ""On Solitude,"" ""To Philosophize Is to Learn How to Die,"" and ""On Experience.""",Literary Collections,Literature
0140183957,Untouchable (Twentieth Century Classics S.),Mulk Raj Anand,1990,Penguin Books,Explores the plight of the `Untouchables' in Hindu society in the 1930s.,Fiction,Fiction
014018533X,The Third Man and the Fallen Idol (Penguin Twentieth-Century Classics),Graham Greene,1992,Penguin Books,"Just arrived in Vienna, Rollo Martins discovers that the friend he has come to visit is dead, and Philip, a small boy, unwittingly betrays his best friend to the police",Fiction,Fiction
0140186123,Collected Short Stories (Penguin Twentieth Century Classics),Graham Greene,1987,Penguin Books,"Affairs, obsessions, ardours, fantasy, myth, legend and dream, fear, pity and violence - this magnificant collection of stories illuminates all corners of the human experience. Previously published in three volumes - ""May We Borrow Your Husband?,"" ""A Sense of Reality"" and ""Twenty-One Stories"" - these thirty-seven stories reveal Graham Greene in a range of contrasting moods, sometimes cynical and witty, sometimes searching and philosophical. Each one confirms V.S. Pritchett's statement that Greene is 'a master of storytelling'.",Fiction,Fiction
0140187073,JR (Penguin Twentieth-Century Classics),William Gaddis,1993,Penguin Books,"At the center of this hugely comic tale of ""free enterprise"" America stands JR--an eleven-year-old capitalist, eagerly following the example of the grasping world around him. Operating through pay phones and post-office money orders, JR inadvertently parlays a shipment of Navy surplus picnic forks, a defaulted bond issue, and a single share of common stock into a vast paper empire embracing timber, mineral and natural gas rights, publishing, and a brewery. At once a novel of epic comedy and a biting satire of the American dream, JR displays the style and extraordinary inventiveness that has made Gaddis one of the most acclaimed writers of our time.",Fiction,Fiction
0140188266,North of South: An African Journey (Penguin Twentieth-Century Classics),Shiva Naipaul,1997,Penguin Books,"When her father leaves the Church in a crisis of conscience, Margaret Hale is uprooted from her comfortable home in Hampshire to move with her family to the north of England. Initially repulsed by the ugliness of her new surroundings in the industrial town of Milton, Margaret becomes aware of the poverty and suffering of the local mill workers and develops a passionate sense of social justice. This is intensified by her tempestuous relationship with the mill-owner and self-made man, John Thornton, as their fierce opposition over his treatment of his employees masks a deeper attraction. In North and South, Elizabeth Gaskell skillfully fused individual feeling with social concern, and in Margaret Hale created one of the most original heroines of Victorian literature.",Social Science,Family & Relationships
014018922X,Six Characters in Search of an Author and Other Plays (Twentieth Century Classics),Luigi Pirandello,1996,Penguin Books,"Accompanied by two additional plays, presents the classic drama about literature and reality in which six characters involved in their own family drama come to life at a theater in the midst of a rehearsal, insisting that the theatrical company complete their story.",Drama,Drama
0140189440,Humboldt's Gift (Penguin Twentieth-Century Classics),Saul Bellow,1996,Penguin Books,"Charlie Citrine, suffering from steadily worsening troubles with women, career, and life, receives unexpected aid in the form of a belated bequest from his onetime friend and mentor, the poet Von Humboldt Fleisher.",Fiction,Fiction
0140189645,The Crucible: A Play in Four Acts (Twentieth-Century Classics),Arthur Miller,1995,Penguin Books,A play revealing the Salem witch trials of the late seventeenth century and the problem of guilt by association,Drama,Drama
0140191917,The Act of Creation (Arkana S.),Arthur Koestler,1990,Penguin Books,"The author examines the idea that we are at our most creative when rational thought is suspended-for example, in dreams and trancelike states.",Philosophy,Philosophy
014019553X,The Beloved: Reflections on the Path of the Heart (Arkana S.),Kahlil Gibran,1998,Penguin Books,"For Kahlil Gibran (1883-1931), love was the supreme way of achieving self-realization and completeness as a human being. Such themes as love, passion and marriage dominate the section on love in Gibran's celebrated The Prophet, but they are expressed with equal eloquence in his earlier Arabic stories, parables and prose poems.",Fiction,Fiction
0140196099,Who Are You?: 101 Ways of Seeing Yourself,Malcolm Godwin,2000,Penguin Books,"A noted artist introduces 101 easy-to-follow ways to help readers identify their personal abilities, personality types, psychological strategies, and goals, examining the body, emotions, intellect, and spirit.","Body, Mind & Spirit",Health & Fitness
0140230270,Harvesting the Heart,Jodi Picoult,1995,Penguin Books,"Now with a child of her own, Paige is still haunted by memories of her own mother, who left when she was five, and plagued by constant self-doubt.",Fiction,Fiction
0140236236,Regeneration,Pat Barker,1997,Penguin Books Ltd,"The first volume of the REGENERATION trilogy which centres around an actual encounter between army psychologist W.H.R.Rivers and the novelist Siegfried Sassoon, at Craiglockhart Hospital, during the First World War.",Fiction,Fiction
014023828X,The Tortilla Curtain,T. Coraghessan Boyle,1996,Penguin Books,"The lives of two different couples--wealthy Los Angeles liberals Delaney and Kyra Mossbacher, and Candido and America Rincon, a pair of Mexican illegals--suddenly collide, in a story that unfolds from the shifting viewpoints of the various characters",Fiction,Fiction
0140247726,The Crucible: Text and Criticism (Viking Critical Library),Arthur Miller,1996,Penguin Books,"""Earlier version copyright under title Those familiar spirits""-- T.p. verso.",Drama,Drama
0140247734,Death of a Salesman: Text and Criticism (Viking Critical Library),Arthur Miller,1996,Penguin Books,The tragedy of a typical American--a salesman who at the age of sixty-three is faced with what he cannot face; defeat and disillusionment.,Drama,Drama
0140250913,The Coming Plague: Newly Emerging Diseases in a World Out of Balance,Laurie Garrett,1995,Penguin Books,"An exploration of the battle against microbes, based on research in virology, molecular biology, disease ecology, and medicine, examines the current outbreak of infectious diseases and outlines what can be done to prevent the coming plague",Medical,Medicine
014025157X,The Making of Pride and Prejudice (BBC),Sue Birtwistle,2003,Penguin Books,"This book reveals in detail how Jane Austen's classic novel is transformed into a stunning television drama. Filmed on location at Wiltshire and Derbyshire, 'Pride and Prejudice', with its lavish sets and distinguished cast, was scripted by award-winning dramatist Andrew Davies. Chronicling 18 months of work - from the original concept to the first broadcast - 'The Making of Pride and Prejudice' brings vividly to life the challenges and triumphs involved in every stage of production of this sumptuous television series. Follow a typical day's filming, including the wholesale transformation of Lacock village into Jane Austen's Meryton. Discover how Colin Firth approaches the part of Darcy, how actors' costumes and wigs are designed and how Carl Davis recreates the period music and composes an original score. Piece together the roles of many behind-the-scenes contributors to the series, from researchers and fencing masters to experts in period cookery and gardening.",Performing Arts,Arts & Entertainment
0140252622,The Barrytown Trilogy: The Commitments/the Snapper/the Van,Roddy Doyle,1995,Penguin Books,"A one-volume edition of the celebrated trio of novels about the Rabbitte family, from the author of Paddy Clarke Ha Ha Ha and The Guts (Viking, January 2014) ? which features the return of Jimmy Rabbitte, founder of the Commitments.",Fiction,Fiction
0140255257,Anais Nin: A Biography,Deirdre Bair,1996,Penguin Books,"The first biography of the famous diarist written with exclusive access to her complete, original diary and with the full cooperation of her family traces her infamous erotic exploits among the intellectual elite. Reprint. 25,000 first printing. Tour.",Biography & Autobiography,Biography & Autobiography
0140259104,The Nuclear Age,Tim O'Brien,1996,Penguin Books,"From Library Journal : Brilliant nuclear detonations and rising silver Titans have plagued William's dreams since his childhood during the Cuban missile crisis, when he fashioned a fallout shelter from the family ping-pong table. Thirty years later his fear has mushroomed into blinding paranoia, and when his wife announces she is leaving, he laces a hole in the backyard with dynamite, places her in it, and prepares to blow her up.",Fiction,Fiction
0140260021,The Van,Roddy Doyle,1997,Penguin Books,"The further misadventures of the Rabbitte family in working-class Dublin--from the author of The Commitments and The Snapper. This story follows Jimmy Rabbitte, Sr., and his best friend through Dublin, selling cheap grub to the drunk and hungry--keeping one step ahead of the health officials.",Fiction,Fiction
0140260897,Palimpsest: A Memoir,Gore Vidal,1996,Penguin Books,"The author of Myra Breckenridge reminisces about his life, from his school days at St. Albans and Exeter to his rise as a literary superstar, and the famous people he has known, including the Kennedys, the Duke and Duchess of Windsor, and Eleanor Roosevelt. Reprint.",BIOGRAPHY & AUTOBIOGRAPHY,Biography & Autobiography
0140275010,Cod: A Biography of the Fish That Changed the World,Mark Kurlansky,1998,Penguin Books,"A history of the fish that has led to wars, stirred revolutions, sustained economies and diets, and helped in the settlement of North America features photographs, drawings, and recipes, as well as the natural history of this much sought after fish",History,History & Politics
0140275657,Age of Iron,J. M. Coetzee,1998,Penguin Books,"South African professor Mrs. Curren has always been opposed to apartheid's brutality though she has lived isolated from its horrors, but as she nears death from cancer, she confronts a generation of blood and revenge.",Fiction,Fiction
0140276904,Jemima J,Jane Green,0,Penguin Putnam~trade,"Jemima Jones is overweight. About seven stone overweight. Treated like a slave by her thin and bitchy flatmates, lorded over at the Kilburn Herald by the beautiful Geraldine (less talented, better paid), her only consolation is food. That and a passion for her charming, sexy colleague Ben. Her life needs to change and soon. But can Jemima reinvent herself? Should she? A novel about attraction, obsession and the meaning of true love.",Fiction,Fiction
014027782X,Difficult Conversations,Roger Fisher,2004,Penguin Books Ltd,"What is a difficult conversation? Asking for a pay rise, saying 'no' to your boss or spouse, confronting a friend or neighbour, asking a difficult favour, apologizing. We all have conversations that we dread and find unpleasant. But can we develop the skills to make such situations less stressful and more productive? Based on fifteen years of research and consultations with thousands of people, DIFFICULT CONVERSATIONS pinpoints what works. Use this ground-breaking, step-by-step book to turnyour difficult conversations into positive, problem-solving experiences.",Psychology,Psychology
0140280464,My Year of Meats,Ruth L. Ozeki,1999,Penguin Books,"Strange things happen in the love lives of two women--one a Japanese-American filmmaker from New York, the other a Japanese housewife--linked by a Japanese television show sponsored by an American meat exporter. A first novel. Reprint. Tour.",Fiction,Fiction
0140280499,The Farming of Bones: A Novel,Edwidge Danticat,1999,Penguin Books,"In 1937, on the Dominican side of the Haiti border, Amabelle, an orphaned maid to an army colonel's wife, falls in love with Sebastien, an itinerant sugarcane cutter, but their relationship is threatened by the violent persecution of the Haitians. Reprint.",Fiction,Fiction
0140283331,Lord of the Flies (Penguin Great Books of the 20th Century),William Golding,1999,Penguin Books,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island,Fiction,Fiction
0140283358,Waiting for the Barbarians (Penguin Great Books of the 20th Century),J. M. Coetzee,1999,Penguin Books,A magistrate in a country village protests the army's treatment of members of the barbarian tribes taken prisoner during a civil war and finds himself arrested as a traitor.,Fiction,Fiction
0140283366,The Metamorphosis and Other Stories (Penguin Great Books of the 20th Century),Franz Kafka,2000,Penguin Books,"Startling and bizarre, Kafka's masterpiece tells the story of a young man who becomes an object of disgrace to his family, an outsider in his own home, and a quintessentially alienated man. Part of Penguin's Great Books of the 20th Century series.",Fiction,Fiction
0140284125,The Inimitable Jeeves,P. G. Wodehouse,2000,Penguin Books,"Michael Hordern stars as Jeeves with Richard Briers as Bertie in a BBC Radio full-cast dramatization. Just when Bertie thinks that all's right with the world, there's young Bingo Little, who's in love for the umpteenth time and needs Bertie to put in a good word for him with his uncle; Aunt Agatha, who forces Bertie to get engaged to the formidable Honoria Glossop; and friction in the Wooster home over a red cummerbund, purple socks and some snazzy old Etonian spats. Only the inimitable Jeeves can save the day.",Fiction,Fiction
0140286012,Wanderlust: A History of Walking,Rebecca Solnit,2001,Penguin Books,"A cultural history of walking explores the ancient practice, from ancient Greece to the present, delving into Wordsworth, Gary Snyder, Rousseau, Jane Austen, and other cultural and literary icons to show how this basic activity has been imagined throughout history. 17,500 first printing.",Social Science,Family & Relationships
0140286276,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books,"The disappearance of her three-year-old son Ben threatens to drive a wedge between Beth Cappadora and her husband, Pat, and transforms her older son into a troubled delinquent, until one day nine years later when Ben comes back into their lives",Fiction,Fiction
0140286802,Collected Fictions,Jorge Luis Borges,1999,Penguin Books,"In honor of the centenary of the birth of Borges, this collection of his fiction has been gathered into a single volume. ""An unparalleled treasury of marvels.""--""Chicago Tribune.""",Fiction,Fiction
0140288481,Hunger: A Novella and Stories,Lan Samantha Chang,2000,Penguin Books,"A firstgeneration immigrant from China marries an exiled musician whose unfulfilled desires nearly destroy their children, in the title story in a collection of tales about the trials and tribulations of Asian Americans. Reprint.",Fiction,Fiction
0140295577,Fever Pitch,Nick Hornby,2002,Penguin Books Ltd,Presents an account of growing up to be a fanatical football supporter. This title includes a series of match reports.,"Authors, English",Others
0140298517,The Basque History of the World,Mark Kurlansky,2001,Penguin Books,A history of the Basque people of Spain speculates on the origins of this enigmatic group of Europeans whose language and culture have long baffled anthropologists. Reprint.,History,History & Politics
0140299939,World's End (Contemporary American Fiction),T. Coraghessan Boyle,1990,Penguin Books,"This multi-generational novel ranges over the history of the Hudson River Valley from the late seventeenth cenutry to the late 1960s with low humor, high seriousness, and magical, almost hallucinatory prose. It follows the interwoven destinies of families of Indians, lordy Dutch patrons, and yoemen.",Fiction,Fiction
0140299947,Descent of Man: Stories (Contemporary American Fiction),T. Coraghessan Boyle,1990,Penguin Books,"A mad, hilarious collection of short stories, wherein Boyle offers his unique view of dictators, animals, scientists, explorers, collectors, teetotalers, and others.",Fiction,Fiction
0140299963,Budding Prospects: A Pastoral (Contemporary American Fiction),T. Coraghessan Boyle,1990,Penguin Books,"Felix is a quitter, with a poor track record behind him. Until the day the opportunity presents itself to make half a million dollars tax-free - by nurturing 390 acres of cannabis in the lonely hills of northern California.",Fiction,Fiction
0140309594,Pippi Goes on Board,Astrid Lindgren,1988,Puffin Books,The further adventures of Pippi and her friends Tommy and Annika.,Juvenile Fiction,Juvenile
0140320431,Charlie and the Great Glass Elevator (Puffin Story Books),Roald Dahl,1975,Puffin Books,"Mr. Willy Wonka might be a genius with chocolate, but Charlie and his family don't trust his flying skills one bit. And right now, he's at the helm of a giant glass elevator that's picking up speed and hurtling through space with Charlie and the entire Bucket family stuck inside! Roald Dahl's uproarious sequel to ""Charlie and the Chocolate Factory"" is certain to delight and entertain a new generation of readers. ""From the Hardcover edition.""",Adventure stories,Adventure
0140345825,Strange Attractors,William Sleator,1991,Puffin Books,"Max finds himself in possession of a time travel device which is eagerly sought by two desperate men, the scientist who invented it and the scientist's alter ego from a different timeline.",Juvenile Fiction,Juvenile
0140367357,Five Children and It (Puffin Classics - the Essential Collection),E. Nesbit,1996,Puffin Books,A series of phenomenal adventures follow when young Anthea discovers a sand-fairy who can grant wishes.,Juvenile Fiction,Juvenile
0140367438,The Enchanted Castle (Puffin Classics),E. Nesbit,2004,Puffin Books,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.",Juvenile Fiction,Juvenile
0140383190,Bound for Oregon,Jean Van Leeuwen,1996,Puffin Books,Bound For Oregon (PB),Juvenile Fiction,Juvenile
0140389660,"That Was Then, This Is Now",S. E. Hinton,1998,Penguin Putnam Books for Young Readers,HINTON/THAT WAS THEN THIS IS NOW,Juvenile Fiction,Juvenile
0140422153,William Blake: The Complete Poems (Penguin English Poets),William Blake,1978,Penguin Books,Contains all of Blake's poetry with full annotation and a glossary of proper names.,Literary Criticism,Literature
